TOWN_LOCALITY,REGION,YEAR,FOOD,CLOTHING,HOUSING,HOUSEHOLD_EQUIPMENT_OPERATION,TRANSPORTATION,TOBACCO_ALCOHOL,HEALTH_PERSONAL_CARE,RECREATION_EDUCATION,ALL_GROUPS,LONGITUDE,LATITUDE
Albany,Great Southern,2000,-1.5,11.5,0.4,-0.9,5.1,3.7,-0.6,7.4,2,117.884727,-35.023819
Broome,Kimberley,2000,19.3,9.6,38.7,1.6,10.8,9.5,5,6.9,13.2,122.245049,-17.95215
Bunbury,South West,2000,1.5,14.8,-0.1,-6.5,2.9,0.8,-2,10.8,1.2,115.636093,-33.327419
Busselton,South West,2000,-0.8,11.8,4,-1.2,5.6,6.3,-0.6,7.2,2.9,115.34463,-33.64994
Byford,Peel,2000,3.7,5.6,2.6,-1.5,-3.5,4.2,-2.9,-0.2,0.6,116.00807,-32.22151
Carnarvon,Gascoyne,2000,2.8,17,4.1,1.9,10.3,5.3,-2.1,16.2,5.9,113.695953,-24.864031
Derby,Kimberley,2000,17.4,18.3,30.9,4.7,11.5,19.8,3.4,13.6,14.6,123.630112,-17.30368
Esperance,Goldfields-Esperance,2000,5.8,17,0,-1.8,6.1,7.6,-0.8,11.6,4.4,121.838799,-33.81831
Exmouth,Gascoyne,2000,23.1,23.8,11.4,1.6,23.7,14.7,0,14.2,14,114.122391,-21.930719
Gascoyne,Gascoyne,2000,12.5,23.8,7.7,1.7,16.8,9.9,-2.1,15.2,5.9,116.097923,-25.432289
Geraldton,Mid West,2000,8.7,14.7,0,-1.8,5.4,7.7,-2.4,3.2,3.8,114.611229,-28.77305
Goldfields-Esperance,Goldfields-Esperance,2000,11.1,15.6,18.5,-0.5,8.7,16.3,0.9,8.7,5.6,121.91196,-33.83297
Great Southern,Great Southern,2000,-1.5,10.2,0.6,2.7,5,5.4,-1.1,4,3.5,116.53641,-31.88664
Kalgoorlie,Goldfields-Esperance,2000,9.1,13.8,13.5,0.8,8.4,3,0.9,7.9,6.8,121.476013,-30.74799
Karratha,Pilbara,2000,13.5,17.8,23.1,1.8,12,7.2,2.9,11.5,10.8,116.846802,-20.736691
Kimberley,Kimberley,2000,16.7,18.3,33.3,2.4,10.3,13,3.4,13.2,13.5,124.33964,-17.40375
Mandurah,Peel,2000,1.7,6.7,0.3,-1.3,-2.4,1.6,-0.6,3,0.5,115.742561,-32.53664
Mid West,Mid West,2000,11.5,14,1,-1.7,6.8,9.3,-2.6,7.8,5.4,115.9969,-31.86357
Narrogin,Wheatbelt,2000,4.2,14.2,0,3.3,6.5,4.6,-1.4,8.5,4.4,117.17645,-32.93468
Northam,Wheatbelt,2000,0.4,13.1,1.9,-4.6,1.2,8.8,-3,11.3,2,116.671059,-31.654921
Port Hedland,Pilbara,2000,12.4,22.2,33.5,3.7,7.6,10.4,2.9,6,11.6,118.559258,-20.366859
South West,South West,2000,0.3,13.3,-0.1,-3.9,4.2,3.5,-0.6,9,2,116.24409,-20.80619
Wheatbelt,Wheatbelt,2000,2.3,13.6,1.9,-0.7,3.8,6.7,-1.4,9.9,4.4,118.0953,-32.0334
Albany,Great Southern,2007,-1.9,2.3,-9.2,2.8,0.3,-1.2,-2.2,-3.4,-2.5,117.884727,-35.023819
Broome,Kimberley,2007,9.5,1.9,31.8,9.9,1.1,2.7,1.8,43.5,17.2,122.245049,-17.95215
Bunbury,South West,2007,3.6,3.3,-9,4.5,0,1,-1,42.2,6.1,115.636093,-33.327419
Busselton,South West,2007,7.6,3.3,-9.8,3.3,-0.2,2.4,-1.1,44.1,6.8,115.34463,-33.64994
Byford,Peel,2007,3.1,11.3,0.2,3.7,1.1,2.2,0.1,2.4,2.1,116.00807,-32.22151
Carnarvon,Gascoyne,2007,1.2,11.2,-9.8,4.5,1.1,5.3,-2.3,15.6,2.1,113.695953,-24.864031
Denmark,Great Southern,2007,2.8,11.8,-17.8,4.8,0.6,3,0.2,33,3.4,117.35623,-34.96196
Derby,Kimberley,2007,15.4,15.9,4.9,11.6,1.5,7.1,5.2,47.4,14.5,123.630112,-17.30368
Esperance,Goldfields-Esperance,2007,6.3,6.9,1.9,3.6,0.8,5.3,-0.5,4.6,3.5,121.838799,-33.81831
Exmouth,Gascoyne,2007,16.8,11.2,-0.8,7.8,2.2,7.2,-1.4,48.5,12.7,114.122391,-21.930719
Gascoyne,Gascoyne,2007,5.9,5.9,11.2,-7.1,5.5,-2,1.4,25.5,5.3,116.097923,-25.432289
